Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,chweight,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,grains,legumes,dairy,flesh,eggs,vitaminA,other,mdd_ch,mad_bf_623,milk_feeds_2,mad_nbf_623,mad_ch
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.0278969230538388,0.0,3.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.0278969230538388,0.0,1.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,0,,,1.0278969230538388,0.0,0.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.0278969230538388,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.0278969230538388,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.5364013637607568,0.0,1.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.5364013637607568,2.0,1.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.5364013637607568,0.0,2.0,1.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,100,0,0,0,0,100,0,100,0.0,,2.3154730687739105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,2.3154730687739105,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,2.3154730687739105,0.0,2.0,0.0,3.0,0.0,0.0,100.0,100.0,100.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,2.3154730687739105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,2.3154730687739105,0.0,0.0,0.0,5.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,2.3154730687739105,0.0,1.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,2.3154730687739105,0.0,0.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,100,,100.0,2.3154730687739105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,0,100,100,0,100,,,2.3154730687739105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,2.3154730687739105,0.0,2.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,2.3154730687739105,0.0,2.0,0.0,2.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.3361448546234075,0.0,3.0,0.0,1.0,0.0,0.0,100.0,100.0,100.0,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,0,100,,,0.3361448546234075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.3361448546234075,0.0,2.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,0,100,100,0,100,,,0.3361448546234075,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.3361448546234075,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.3361448546234075,0.0,4.0,1.0,2.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,0,0,100,,,0.3361448546234075,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.278901821714543,0.0,4.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,1.278901821714543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,0,100,,,0.6538205942473223,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6538205942473223,0.0,2.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6538205942473223,0.0,3.0,0.0,2.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.6538205942473223,0.0,2.0,2.0,2.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6538205942473223,0.0,3.0,0.0,5.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.6538205942473223,0.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,100.0,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.5963418606871181,0.0,1.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.5963418606871181,0.0,2.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,0,100,100,0,0,,,1.214238246459313,2.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,1.214238246459313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.214238246459313,0.0,3.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.6740376810146979,0.0,1.0,0.0,3.0,0.0,100.0,100.0,0.0,100.0,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.6740376810146979,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,0,0,0,,0.0,0.6740376810146979,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,100,0,0,0,0,100,0,0,0.0,,0.6740376810146979,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6740376810146979,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.6740376810146979,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.6740376810146979,0.0,3.0,0.0,1.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,0.6740376810146979,0.0,3.0,0.0,1.0,0.0,0.0,100.0,100.0,100.0,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6740376810146979,0.0,3.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.8051005634342223,0.0,2.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.8051005634342223,0.0,2.0,1.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,0,0,0.0,,0.8051005634342223,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.8051005634342223,0.0,2.0,1.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,0.8051005634342223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.8051005634342223,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,100,0,0,0,0,100,0,100,0.0,,0.6079215455955244,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.6079215455955244,0.0,2.0,0.0,3.0,0.0,100.0,100.0,0.0,100.0,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6079215455955244,0.0,2.0,0.0,2.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.6079215455955244,0.0,2.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,0.6079215455955244,0.0,1.0,0.0,5.0,0.0,100.0,100.0,0.0,100.0,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6079215455955244,0.0,2.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6079215455955244,0.0,2.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,0.6079215455955244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.6079215455955244,2.0,3.0,2.0,5.0,0.0,0.0,100.0,100.0,100.0,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6079215455955244,0.0,2.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,0.6079215455955244,2.0,0.0,0.0,3.0,100.0,0.0,100.0,0.0,100.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.9043142995523756,2.0,2.0,0.0,4.0,0.0,0.0,100.0,100.0,100.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.9043142995523756,0.0,1.0,0.0,4.0,0.0,100.0,100.0,0.0,100.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.9043142995523756,0.0,2.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.9043142995523756,0.0,3.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,0.2288645818712562,0.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,100.0,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,0.2288645818712562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.2288645818712562,0.0,3.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,100,0,0,0,0,100,0,100,0.0,,0.2288645818712562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2983961133311648,1.0,1.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2983961133311648,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2983961133311648,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2983961133311648,0.0,1.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.8177545586636303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.8177545586636303,0.0,2.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,0,100,,,1.8177545586636303,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.8177545586636303,0.0,1.0,0.0,4.0,0.0,0.0,100.0,100.0,100.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.8177545586636303,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.5580753359973976,0.0,2.0,2.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.5580753359973976,0.0,3.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.5580753359973976,0.0,3.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.5580753359973976,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.5580753359973976,0.0,1.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.5580753359973976,3.0,2.0,0.0,4.0,0.0,100.0,100.0,0.0,100.0,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.5580753359973976,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.9954370202205596,0.0,2.0,0.0,4.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.9954370202205596,0.0,2.0,0.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.6150735637790011,0.0,6.0,1.0,3.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,0.6150735637790011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Total,2011,Urban,Northern Midlands and Mountain,Middle,Other/Missing,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,0.6150735637790011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
