Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,grains,legumes,dairy,flesh,eggs,vitaminA,other,mdd_ch,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,mad_bf_623,milk_feeds_2,mad_nbf_623,mad_ch,chweight
Total,2014,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,100,0,100,100,0,100,100,100.0,1.0,0.0,0.0,4.0,100,0,100,0,100.0,100,0,0,100.0,0.9173273306755988
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,100,100,0,100,0,100,0,0.0,0.0,0.0,0.0,4.0,0,0,100,100,100.0,0,0,0,0.0,0.9173273306755988
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,100,0,0,100,100,100,0,0.0,0.0,0.0,0.0,4.0,0,0,100,100,100.0,0,0,0,0.0,0.9173273306755988
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,0,0,0.0,,100,100,0,0,100,0,0,,0.0,0.0,0.0,3.0,0,0,0,0,,0,0,0,,0.9173273306755988
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,100,0,0,0,0,100,0,0.0,0.0,0.0,0.0,3.0,0,100,0,0,100.0,0,0,0,0.0,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,0,100,0,0,0,,,100,0,0,0,0,100,0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0,0,0,0.0,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,100,0,0,100,0,100,100,,0.0,0.0,0.0,3.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,100,0,0,0,0,100,0,,0.0,0.0,0.0,3.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,100,0,0,100,100,0,0,,,100,0,0,0,0,100,0,0.0,0.0,0.0,0.0,3.0,100,0,0,0,100.0,0,0,0,0.0,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,100,0,0,100,0,100,100,100.0,0.0,0.0,0.0,3.0,0,100,0,0,100.0,100,0,0,100.0,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,100,0,0,0,0,100,0,0.0,0.0,0.0,0.0,3.0,0,100,0,0,100.0,0,0,0,0.0,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,,,100,0,0,0,0,100,0,,0.0,0.0,0.0,4.0,0,0,100,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,100,0,0,0,0,100,100,100,100.0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,100,0,0,0,0,100,0,0.0,0.0,0.0,0.0,3.0,0,100,0,0,100.0,0,0,0,0.0,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,100,0,0,100,0,100,0,,0.0,0.0,0.0,4.0,0,0,100,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,100,0,0,100,100,100,0,100.0,0.0,0.0,0.0,3.0,0,100,0,0,100.0,100,0,0,100.0,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,100,0,0,0,0,100,0,,0.0,0.0,0.0,3.0,0,0,0,0,,0,0,0,,1.1192463203724143
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.939850992812723
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,100,0,0,0,100,0,0.0,0.0,0.0,0.0,4.0,0,100,100,0,100.0,0,0,0,0.0,0.939850992812723
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.939850992812723
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,100,0,0,100,0,100,0,,0.0,0.0,0.0,3.0,0,0,0,0,,0,0,0,,0.939850992812723
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,100,0,100,100,100,100,0,,0.0,2.0,0.0,5.0,0,0,100,0,,0,100,0,,0.939850992812723
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,100,0,0,0,100,100,0,,0.0,0.0,0.0,4.0,0,0,100,0,,0,0,0,,0.939850992812723
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.939850992812723
Total,2014,Urban,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.4484333050003958
Total,2014,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.4484333050003958
Total,2014,Urban,Northern Midlands and Mountain,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,0,100,100,100.0,0.0,2.0,1.0,6.0,0,100,100,0,100.0,100,100,0,100.0,0.4484333050003958
Total,2014,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.4484333050003958
Total,2014,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,0,100.0,0.0,3.0,0.0,4.0,0,0,100,100,100.0,0,100,100,100.0,0.4484333050003958
Total,2014,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,0,100,0,100.0,4.0,0.0,0.0,4.0,0,100,100,0,100.0,100,100,0,100.0,0.4484333050003958
Total,2014,Urban,Northern Midlands and Mountain,Poor,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.4484333050003958
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,100,0,0,100,100,100,100,,0.0,0.0,0.0,4.0,0,0,100,0,,0,0,0,,1.0248016564385503
Total,2014,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,100,0,100,100,0,100,0,,4.0,0.0,0.0,1.0,0,0,100,0,,0,100,0,,1.0248016564385503
Total,2014,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,0,100.0,3.0,0.0,0.0,3.0,0,0,100,100,100.0,0,100,100,100.0,1.0248016564385503
Total,2014,Rural,Northern Midlands and Mountain,Poor,Other/Missing,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,100,0,,,100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,100,0,0,0,100.0,0,0,0,0.0,1.0248016564385503
Total,2014,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,0,0,100,100,100,100,100.0,0.0,0.0,0.0,4.0,0,100,100,0,100.0,100,0,0,100.0,0.44042744848641185
Total,2014,Urban,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.44042744848641185
Total,2014,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,0,100,0,100.0,3.0,0.0,2.0,4.0,0,100,100,0,100.0,100,100,0,100.0,0.9553308915178736
Total,2014,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,100,0,100,100,100,100,0,,2.0,2.0,1.0,5.0,0,0,100,0,,0,100,0,,0.9553308915178736
Total,2014,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,0,100,100,100.0,2.0,0.0,0.0,4.0,0,100,100,0,100.0,100,100,0,100.0,0.9553308915178736
Total,2014,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,100,100,0,100.0,2.0,0.0,0.0,2.0,0,0,100,0,0.0,0,100,0,0.0,0.9553308915178736
Total,2014,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9553308915178736
Total,2014,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,0,0,100,100.0,0.0,1.0,0.0,3.0,0,100,100,0,100.0,100,0,0,100.0,0.9553308915178736
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9553308915178736
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,100,0,100,100,0,0,0,0.0,2.0,0.0,0.0,3.0,0,100,100,0,100.0,0,100,0,0.0,1.0109321603363741
Total,2014,Rural,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.0109321603363741
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,100,0,0,100,0,100,0,0.0,0.0,0.0,0.0,3.0,100,0,0,0,100.0,0,0,0,0.0,1.0109321603363741
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.0109321603363741
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.0109321603363741
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,100,0,100,100,0,100,100,100.0,3.0,0.0,0.0,5.0,0,100,100,0,100.0,100,100,0,100.0,1.0109321603363741
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.0109321603363741
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,100,0,100,0,100,100,0,0.0,5.0,0.0,0.0,4.0,0,0,100,100,100.0,0,100,0,0.0,1.0109321603363741
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,100,0,0,100,0,100,100,100.0,0.0,0.0,0.0,4.0,0,100,100,0,100.0,100,0,0,100.0,0.8867825967862933
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8867825967862933
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8867825967862933
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.0303731634197661
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.0303731634197661
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,100,0,0,100,0,100,0,,0.0,0.0,0.0,3.0,0,0,0,0,,0,0,0,,1.0303731634197661
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,0,0,0,0.0,0.0,2.0,0.0,3.0,0,0,100,100,100.0,0,100,0,0.0,1.0303731634197661
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,100,0,100,100,100,0,0,,1.0,0.0,0.0,3.0,0,0,100,0,,0,0,0,,1.0303731634197661
Total,2014,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,0,0,0.0,,100,0,100,0,0,0,0,,1.0,0.0,0.0,2.0,0,0,0,0,,0,0,0,,1.0303731634197661
Total,2014,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.48700111989549705
Total,2014,Urban,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,100,100,100,100,100,0,100.0,1.0,0.0,0.0,4.0,0,100,100,0,100.0,100,0,0,100.0,0.48700111989549705
Total,2014,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,0,100.0,3.0,0.0,0.0,3.0,0,0,100,100,100.0,0,100,100,100.0,0.48700111989549705
Total,2014,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.48700111989549705
Total,2014,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.48700111989549705
Total,2014,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,100,0,100,0,100,100,0,0.0,3.0,0.0,0.0,3.0,0,0,100,100,100.0,0,100,0,0.0,0.48700111989549705
Total,2014,Urban,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.33030592695033373
Total,2014,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.33030592695033373
Total,2014,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,100,100,100,100.0,3.0,3.0,0.0,3.0,0,100,100,0,100.0,100,100,0,100.0,0.33030592695033373
Total,2014,Urban,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,100,100,100,100,100,100,0,,1.0,0.0,0.0,3.0,0,0,100,0,,0,0,0,,0.33030592695033373
Total,2014,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,0,0,0.0,,100,0,0,0,0,0,0,,0.0,0.0,0.0,2.0,0,0,0,0,,0,0,0,,0.33030592695033373
Total,2014,Urban,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,0,0,100,0,0,0,0,,2.0,0.0,0.0,0.0,0,0,0,0,,0,100,0,,0.33030592695033373
Total,2014,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.6049114095919021
Total,2014,Urban,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,0,0,100,100,100,0,100.0,0.0,0.0,0.0,3.0,0,100,0,0,100.0,100,0,0,100.0,0.6049114095919021
Total,2014,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.6049114095919021
Total,2014,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8729266187115072
Total,2014,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,100,0,100,0,100,100,0,100.0,2.0,0.0,1.0,4.0,0,100,100,0,100.0,100,100,0,100.0,0.8729266187115072
Total,2014,Rural,Northern Midlands and Mountain,Poorest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,100,0,0,100,100,0,0,,,100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0,0,0,0.0,0.8729266187115072
Total,2014,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,0,100,0,0.0,2.0,0.0,1.0,6.0,0,0,100,100,100.0,0,100,0,0.0,0.8729266187115072
Total,2014,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8729266187115072
Total,2014,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,100,0,100,100,100,100,0,100.0,3.0,0.0,0.0,4.0,0,100,100,0,100.0,100,100,0,100.0,0.8729266187115072
Total,2014,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8729266187115072
