Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,chweight
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,100,0,0,100,100,0,100,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,100,0,0,0,0,100,0,100,0.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,Male,Mother Edu: None/ECE,0,100,0,0,100,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: YES,Male,Male,Mother Edu: None/ECE,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,100,0,100,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Female,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,100,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,100,0,0,0,0,100,100,100,100.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,100,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,100,0,0,0,0,100,0,0,0.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,100,100,100,0,100,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Mong,Elderly HoH: NO,Male,Female,Mother Edu: Primary,100,0,0,0,0,100,100,100,100.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Female,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,0,100,100,0,100,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Primary,100,0,0,0,0,100,0,100,0.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,100,0,100,100,0,100,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Higher,100,0,0,0,0,100,100,100,100.0,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Richest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,1.2333198444101279
Total,2006,Urban,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,100,0,0,0,0,100,100,100,100.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Female,Male,Mother Edu: None/ECE,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: YES,Male,Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: YES,Male,Female,Mother Edu: Primary,0,0,100,0,100,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: YES,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: Primary,100,0,0,0,0,100,0,100,0.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Female,Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Rich,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,,100.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,100,100,100,0,0,0,,0.0,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Male,Mother Edu: None/ECE,100,0,0,0,0,100,0,100,0.0,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Male,Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Female,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
Total,2006,Rural,Northern Midlands and Mountain,Poorest,Other/Missing,Elderly HoH: NO,Female,Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,1.2333198444101279
